"unitid","institution name","year","IC2009.Religious affiliation","DRVHR2009.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2009.Graduation rate - Bachelor degree within 6 years, total","DRVIC2009.Percent admitted - total","DRVIC2009.Admissions yield - total","IC2009.SAT Critical Reading 25th percentile score","IC2009.SAT Critical Reading 75th percentile score","IC2009.SAT Math 25th percentile score","IC2009.SAT Math 75th percentile score","IC2009.ACT Composite 25th percentile score","IC2009.ACT Composite 75th percentile score","F0809_F2.Total expenses","F0809_F2.Instruction-Total amount","F0809_F2.Value of endowment assets at the end of the fiscal year"
"233301","Randolph College","2009","United Methodist","61125","63","81","16","500","620","500","600","21","26","25513785","8628995","126089000"
"233374","University of Richmond","2009","Not applicable","87492","86","39","30","580","670","590","680","26","30","201682855","62516561","1428391000"
"233426","Roanoke College","2009","Evangelical Lutheran Church","59898","64","68","20","500","600","490","590","20","25","52498118","20859892","98207056"
"233611","Southern Virginia University","2009","Not applicable","48414","31","99","40","450","580","450","570","20","25","11729511","3593255","386680"
"233718","Sweet Briar College","2009","Not applicable","61398","60","82","33","480","628","460","520","20","27","39563584","14799514","74903814"
"233897","The University of Virginia's College at Wise","2009","Not applicable","56791","46","89","43","420","530","420","530","16","22",,,
"234085","Virginia Military Institute","2009","Not applicable","73629","73","54","52","520","610","530","610","22","27",,,
"234164","Virginia Union University","2009","Baptist","40044","35",,,,,,,,,"25488849","9161403","21954212"
"234173","Virginia Wesleyan University","2009","United Methodist","62699","45","75","31","440","530","440","540","18","23","33079824","11239920","38037748"
"234207","Washington and Lee University","2009","Not applicable","95710","91","19","40","660","740","660","730","29","32","127991000","57955000","897141000"
"236328","University of Puget Sound","2009","Not applicable","76970","78","63","20","570","680","560","660","25","30","99995000","43882000","195505000"
"237057","Whitman College","2009","Not applicable","73348","89","42","28","630","730","610","700","28","33","63760573","23193561","296723000"
"237118","Alderson Broaddus University","2009","American Baptist","41677","39","74","37","440","530","420","510","19","23","15176595","5824649","15761591"
"237181","Bethany College","2009","Christian Church (Disciples of Christ)","47543","68","79","27","430","520","420","520","18","24","22354868","5448778","40225043"
"237215","Bluefield State College","2009","Not applicable","53531","24","83","78","410","530","420","530","16","21",,,
"237358","Davis & Elkins College","2009","Presbyterian Church (USA)","48500","58","71","23","410","540","420","550","17","22","14316347","4220303","16052157"
"237385","Glenville State College","2009","Not applicable","47839","28","100","35","370","480","370","470","17","22",,,
"237640","Ohio Valley University","2009","Churches of Christ","40071","70","15","100","420","490","440","500","19","23","10522457","2807977","1273101"
"237792","Shepherd University","2009","Not applicable","58223","44","94","44","460","560","450","550","19","24",,,
"237899","West Virginia State University","2009","Not applicable","52296","24","100","23","370","450","310","430","16","21",,,
"237932","West Liberty University","2009","Not applicable","48032","35","79","42","390","490","380","490","18","23",,,
"237950","West Virginia University Institute of Technology","2009","Not applicable","58021","11","46","46","340","490","370","500","18","23",,,
"238333","Beloit College","2009","Not applicable","59321","84","73","23","575","710","560","670","25","30","49145281","22869222","95841697"
"238476","Carthage College","2009","Evangelical Lutheran Church","61460","55","75","15","490","600","500","610","21","26","53620349","19445745","33692713"
"239017","Lawrence University","2009","Not applicable","60859","76","69","20",,,,,,,"55880895","21823539","168497280"
"239071","Maranatha Baptist University","2009","Baptist","37597","48","50","84","490","630","430","590","20","26","14099010","3536223","218513"
"239512","Northland College","2009","United Church of Christ","50739","60","79","30","510","670","500","640","20","26","19466499","5287985","14622743"
"239628","Ripon College","2009","Not applicable","55359","76","79","29","490","640","500","640","22","27","27186349","11279591","45752838"
"239716","Saint Norbert College","2009","Roman Catholic","55747","71","83","32",,,,,"21","26","52365765","16243222","52964755"
"240338","Wisconsin Lutheran College","2009","Wisconsin Evangelical Lutheran Synod","51441","64","73","40","485","587","465","650","21","26","26394378","7961231","18140016"
"240374","University of Wisconsin-Parkside","2009","Not applicable","57385","27","93","50",,,,,"18","22",,,
"240426","University of Wisconsin-Superior","2009","Not applicable","56953","41","88","42",,,,,"20","24",,,
"241128","American University of Puerto Rico","2009","Not applicable","24659","28",,,,,,,,,,,
"241191","Universidad Adventista de las Antillas","2009","Seventh Day Adventists","26073","26","44","25",,,,,,,"8785962","3131283","134104"
"241386","Caribbean University-Carolina","2009","Not applicable","17378","17",,,,,,,,,"1413863","358069","12269"
"241720","Colegio Universitario de San Juan","2009","Not applicable","28861",,"100","77",,,,,,,,,
"242644","Inter American University of Puerto Rico-Barranquitas","2009","Not applicable","33485","21","73","84",,,,,,,"10382680","6771718","0"
"242680","Inter American University of Puerto Rico-Fajardo","2009","Not applicable","34163","21","44","92",,,,,,,"10142210","5953920","0"
"242699","Inter American University of Puerto Rico-Guayama","2009","Not applicable","34585","21","39","92",,,,,,,"9267574","5166920","0"
"242705","Inter American University of Puerto Rico-Bayamon","2009","Not applicable","33966","17","35","93",,,,,,,"23316171","14458996","0"
"243106","University of Puerto Rico-Aguadilla","2009","Not applicable","54694","33","89","93","449","557","472","593",,,,,
"243115","University of Puerto Rico-Arecibo","2009","Not applicable","52103","31","47","82",,,,,,,,,
"243133","University of Puerto Rico-Bayamon","2009","Not applicable","50680","43","24","91",,,,,,,,,
"243142","University of Puerto Rico-Carolina","2009","Not applicable","65778","27","76","86","471","581","467","581",,,,,
"243151","University of Puerto Rico-Cayey","2009","Not applicable","66149","42","78","42","506","607","505","628",,,,,
"243179","University of Puerto Rico-Humacao","2009","Not applicable","65845","41","37","95",,,,,,,,,
"243212","University of Puerto Rico-Ponce","2009","Not applicable","48090","44","43","87","481","586","494","620",,,,,
"243586","Pontifical Catholic University of Puerto Rico-Mayaguez","2009","Roman Catholic","31571","29","84","83",,,,,,,,,
"243832","EDP University of Puerto Rico Inc-San Juan","2009","Not applicable","17680","10","67","100",,,,,,,,,
"245652","St. John's College","2009","Not applicable","77244","53","85","49",,,,,,,"22095607","9093566",
"245847","Antioch University-Santa Barbara","2009","Not applicable","58377",,,,,,,,,,,,
"262129","New College of Florida","2009","Not applicable","68590","60","53","29","630","730","590","680","27","30",,,
"363916","Caribbean University-Vega Baja","2009","Not applicable","18246","27",,,,,,,,,"1543398","390874","13393"
"384254","Beacon College","2009","Not applicable","51277","44","92","59",,,,,,,"4030716","1043393",
"385619","Everglades University","2009","Not applicable","36284","60","84","73",,,,,,,"13155032","3052059",
"398130","Mt Sierra College","2009","Not applicable","48752","21","75","98",,,,,,,,,
"399911","Soka University of America","2009","Not applicable","81828","93","74","47","540","670","540","680","24","30","40280000","8653163","426337000"
"414823","Johnson & Wales University-North Miami","2009","Not applicable","54789","42","66","15",,,,,,,,,
"414878","Trine University-Regional/Non-Traditional Campuses","2009","Not applicable","50487",,"100","100",,,,,,,,,
"421832","Living Arts College","2009","Not applicable","28520",,,,,,,,,,,,
"428259","Ottawa University-Milwaukee","2009","American Baptist","50003",,,,,,,,,,,,
"432241","University of Phoenix-Oregon","2009","Not applicable","34975","21",,,,,,,,,,,
