"unitid","institution name","year","IC2010.Religious affiliation","DRVIC2010.Percent admitted - total","DRVIC2010.Admissions yield - total","DRVHR2010.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2010.Graduation rate - Bachelor degree within 6 years, total","IC2010.SAT Critical Reading 25th percentile score","IC2010.SAT Critical Reading 75th percentile score","IC2010.SAT Math 25th percentile score","IC2010.SAT Math 75th percentile score","IC2010.ACT Composite 25th percentile score","IC2010.ACT Composite 75th percentile score","F0910_F2.Total expenses","F0910_F2.Instruction-Total amount","F0910_F2.Value of endowment assets at the end of the fiscal year"
"139630","Emmanuel College","2010","Pentecostal Holiness Church","48","44","43243","34","420","460","400","510",,,"10452991","3002489","2710307"
"140234","LaGrange College","2010","United Methodist","58","30","56118","61","450","580","460","580","20","22","29154332","12194869","50656595"
"140340","Herzing University-Atlanta","2010","Not applicable","79","89","43677","28",,,,,,,,,
"140553","Morehouse College","2010","Not applicable","64","36","65233","57","470","580","460","580","19","24","83136968","24568669","114580254"
"140696","Oglethorpe University","2010","Not applicable","86","11","65705","58","530","630","510","610","22","28","22731860","6685429","17293794"
"140720","Paine College","2010","United Methodist","41","15","42735","26","340","420","330","420","14","17","18391534","7350414","8050718"
"140872","Reinhardt University","2010","United Methodist","58","29","53180","31","416","579","420","564","18","25","19340613","7907767","35951660"
"140988","Shorter University","2010","Baptist","62","37","48758","51","420","540","430","550","18","23","31704104","7094206","19494830"
"141060","Spelman College","2010","Not applicable","38","25","63516","73","480","568","470","560","20","24","86708983","24133176","295220195"
"141185","Toccoa Falls College","2010","Christ and Missionary Alliance Church","55","28","46603","50","440","580","420","590","18","24","18351699","4111557","2743144"
"141237","Truett McConnell University","2010","Southern Baptist","77","57","43607","68","420","540","410","530","17","22","7957631","2063175","7115510"
"141325","Wesleyan College","2010","United Methodist","54","39","54335","49","420","660","400","690","18","25","15436516","5633132","46001119"
"141361","Young Harris College","2010","United Methodist","54","37","53459",,"450","550","430","540",,,"20600279","6170578","92141482"
"141981","University of Hawaii-West Oahu","2010","Not applicable","81","55","67697",,,,,,,,,,
"142294","The College of Idaho","2010","Not applicable","63","36","50257","58","500","638","483","610","22","28","22400263","6910440","78929412"
"142328","Lewis-Clark State College","2010","Not applicable","98","52","47860","29","410","550","430","550","17","23",,,
"142522","Brigham Young University-Idaho","2010","Latter Day Saints (Mormon Church)","97","53","68539","55","490","610","500","620","21","27","166032000","95015000","63687000"
"143084","Augustana College","2010","Evangelical Lutheran Church","86","27","61855","77",,,,,,,"66418619","24217979","99310"
"143288","Blackburn College","2010","Presbyterian Church (USA)","56","33","51251","44","520","570","520","570","18","24","11392574","3374474","9306639"
"144883","East-West University","2010","Not applicable",,,"55367","18",,,,,,,"11125225","2810668",
"144971","Eureka College","2010","Christian Church (Disciples of Christ)","71","23","49575","39","490","520","440","470","19","24","14059757","3754132","12534215"
"145646","Illinois Wesleyan University","2010","Not applicable","62","28","70044","81","570","695","575","695","26","31","70717475","30335454","166211802"
"145691","Illinois College","2010","Presbyterian Church (USA)","53","29","58442","61",,,,,"20","26","25920254","8211937","108629232"
"146393","Kendall College","2010","Not applicable","99","35","51869","38",,,,,,,,,
"146427","Knox College","2010","Not applicable","76","21","61607","76",,,,,,,"45261800","17652003","67435543"
"146481","Lake Forest College","2010","Not applicable","61","28","70407","70",,,,,,,"44086100","14849818","60146007"
"146825","MacMurray College","2010","United Methodist","77","22","45655","35",,,,,"16","21","8595246","2793793","7097737"
"147244","Millikin University","2010","Presbyterian Church (USA)","58","26","57114","59","510","590","490","580","20","23","48219455","19064047","89157868"
"147341","Monmouth College","2010","Not applicable","67","28","59493","55","570","590","470","490","19","25","29772980","10686107","66244963"
"148016","Principia College","2010","Not applicable","80","69","59147","74","470","600","470","610","19","27","36827674","9662324","296568139"
"149505","Trinity Christian College","2010","Interdenominational","84","38","59638","61","420","590","460","580","19","26","29522267","12900493","6335994"
"149781","Wheaton College","2010","Undenominational","66","45","71485","88","600","730","610","700","26","32","105381135","36089950","273727520"
"150400","DePauw University","2010","United Methodist","57","21","75060","85","530","640","550","670","24","29","91938967","41171821","435053793"
"150455","Earlham College","2010","Friends","74","26","64469","73","530","690","520","630","24","29","49178988","19601518","276585611"
"150604","Franklin College","2010","American Baptist","59","24","58828","54","460","550","470","580","19","24","26193121","8678844","72881000"
"150668","Goshen College","2010","Mennonite Church","55","43","51938","68","500","640","520","640","21","28","29588338","10132537","83086316"
"150756","Hanover College","2010","Presbyterian Church (USA)","67","16","68918","66","510","610","500","600","22","28","30675391","12622234","121594142"
"150774","Holy Cross College","2010","Roman Catholic","78","34","45775","13","430","550","430","530","19","25","9501057","3585891","1291940"
"150941","Huntington University","2010","United Brethren Church","84","31","53666","62","440","570","460","590","20","26","24980771","9951745","17888006"
"151333","Indiana University-Kokomo","2010","Not applicable","76","54","55259","24","420","520","430","540","18","22",,,
"151777","Manchester University","2010","Church of Brethren","64","18","51663","53","440","555","460","570","21","26","25782638","6675853","35747000"
"151810","Martin University","2010","Not applicable",,,"42258","19",,,,,,,"10002899","2892659",
"152099","Oakland City University","2010","Baptist","65","59","42097","62","405","510","430","540","19","23","32042676","7090193","4000364"
"152266","Purdue University-North Central Campus","2010","Not applicable","97","66","61704","14","410","530","420","538","17","23",,,
"152363","Saint Josephs College","2010","Roman Catholic","61","22","52536","57","420","540","430","550","18","25","21728209","6385046","16708025"
"152381","Saint Mary-of-the-Woods College","2010","Roman Catholic","69","37","46304","51","420","560","410","500","19","26","16156088","7709178","9643445"
"152390","Saint Mary's College","2010","Roman Catholic","81","30","65360","82","480","600","500","600","22","28","57594198","22109919","117565362"
"152530","Taylor University","2010","Interdenominational","83","32","54862","78","490","630","490","650","23","30","58648554","20095545","61668138"
"152567","Trine University","2010","Not applicable","75","20","50063","49","450","570","500","620","22","27","34544490","11746410","20979317"
"152673","Wabash College","2010","Not applicable","56","29","58503","77","510","615","540","660","22","28","50596707","14365101","303559835"
"152992","Briar Cliff University","2010","Roman Catholic","58","23","50528","56","415","495","448","493","18","23","19207192","5543523","8236710"
"153001","Buena Vista University","2010","Presbyterian Church (USA)","71","27","62732","58","458","553","460","573","20","26","41890055","17145533","100476470"
"153108","Central College","2010","Reformed Church in America","73","19","56983","64","410","540","460","610","21","26","43599797","16832567","64144344"
"153126","Clarke University","2010","Roman Catholic","81","25","51348","64","490","540","455","565","20","25","21123441","7709593","26488797"
"153144","Coe College","2010","Presbyterian Church (USA)","61","24","64063","70","500","660","520","650","23","28","34467450","16207757","77962176"
"153162","Cornell College","2010","United Methodist","43","24","58771","66","540","680","540","680","24","30","31527053","11171326","60221041"
"153250","Dordt College","2010","Christian Reformed Church","84","40","56292","60","470","630","490","630","21","27","28871415","11307840","20884006"
"153375","Grand View University","2010","Evangelical Lutheran Church","92","42","53686","44","410","500","440","540","18","23","28310182","10330723","13027431"
"153384","Grinnell College","2010","Not applicable","43","34","81146","88","610","740","610","730","28","32","97968000","33921000","1264834000"
"153621","Iowa Wesleyan University","2010","United Methodist","64","15","47505","37","420","495","438","490","18","22","14427472","5663364","10680370"
"153825","Loras College","2010","Roman Catholic","11","94","54869","61",,,"500","650","21","26","39547180","10046715","20024585"
"153834","Luther College","2010","Evangelical Lutheran Church","72","22","66284","74","530","670","530","660","24","29","75197418","32488988","100960370"
"154101","Northwestern College","2010","Reformed Church in America","70","34","54174","66",,,,,"22","27","26030124","9515488","35448157"
"154350","Simpson College","2010","United Methodist","86","31","56066","68",,,,,"21","26","35896105","14095232","63588863"
"154518","Waldorf University","2010","Not applicable","54","19","45796","36",,,"430","510","17","22",,,
"154527","Wartburg College","2010","Evangelical Lutheran Church","72","31","58332","63","410","560","460","600","20","26","50009308","16539423","40182889"
"154712","Benedictine College","2010","Roman Catholic","60","21","49655","52",,,"490","590","21","27","27902438","6949035","15742662"
"154721","Bethany College","2010","Evangelical Lutheran Church","64","32","43089","37","440","540","420","560","19","25","12437053","3810232","22198863"
"154749","Bethel College-North Newton","2010","Other (none of the above)","76","40","45875","54","410","610","440","670","21","26","12176019","3392888","13142773"
"154855","Central Christian College of Kansas","2010","Free Methodist",,,"29895","31",,,,,,,"6034317","1287084","7077057"
"155414","Kansas Wesleyan University","2010","United Methodist","51","39","48388","33","440","520","450","540","20","25","13028980","3977952","16731774"
"155511","McPherson College","2010","Church of Brethren","84","35","44699","43","420","520","440","540","19","24","12859350","4110701","26898236"
"155627","Ottawa University-Ottawa","2010","American Baptist","62","26","50130","44",,,,,,,"37692145","9383421","16624794"
"155636","Ottawa University-Kansas City","2010","American Baptist",,,"64624",,,,,,,,,,
"155937","Sterling College","2010","Presbyterian Church (USA)","50","36","43433","41","410","500","420","530","19","24","11885103","2676110","11618314"
"155973","Tabor College","2010","Mennonite Brethren Church","94","39","37798","43","420","540","450","530","19","26","11823040","3031146","4622302"
"156189","Alice Lloyd College","2010","Not applicable","7","100","33379","38","420","650","430","590","18","22","11635452","2322181","25786632"
"156295","Berea College","2010","Not applicable","17","76","62750","64","520","650","500","620","21","26","70533608","23450477","846776300"
"156356","Brescia University","2010","Roman Catholic","69","5","44780","45",,,"470","560","18","23","10531070","3933602","8319991"
"156408","Centre College","2010","Presbyterian Church (USA)","74","21","67177","86","570","690","590","680","26","31","47198893","16700552","176142486"
"156745","Georgetown College","2010","Baptist","79","24","55059","68","470","570","460","590","21","27","37421793","9866647","35797447"
"157058","Kentucky State University","2010","Not applicable","25","18","55367","25","340","480","350","440","15","19",,,
"157076","Kentucky Wesleyan College","2010","United Methodist","55","21","45806","50","430","530","440","520","19","25","13998616","3505912","25246307"
"157100","Kentucky Christian University","2010","Christian Churches and Churches of Christ","32","74","40608","37","430","550","420","540","20","26","14977433","2252282","4700214"
"157535","University of Pikeville","2010","Presbyterian Church (USA)",,,"47457","38",,,,,,,"21632783","7274101","15493646"
"157818","Transylvania University","2010","Christian Church (Disciples of Christ)","84","27","73900","76","530","670","510","670","24","29","30988155","10368052","112934000"
"158477","Centenary College of Louisiana","2010","United Methodist","60","19","60803","60","470","620","470","610","22","28","28565495","9885397","107208147"
"158802","Dillard University","2010","United Methodist","48","28","56256","28","390","490","380","490","17","20","60304433","11321698","34405057"
"159382","Louisiana State University-Alexandria","2010","Not applicable","74","59","48373","11",,,,,"18","22",,,
"160065","University of Holy Cross","2010","Roman Catholic","27","55","44247","24",,,,,"19","20","12613030","2879111","19922278"
"160959","College of the Atlantic","2010","Not applicable",,,"61846","69",,,,,,,"19225524","4155704","27689858"
"160977","Bates College","2010","Not applicable","32","34","89084","88",,,,,,,"90095055","33739478","198547532"
"161004","Bowdoin College","2010","Not applicable","20","43","89958","93","650","750","660","750","30","33","122241000","41314000","753525000"
"161086","Colby College","2010","Not applicable","34","34","93956","90","630","710","620","710","28","31","101852000","35544000","502076000"
"161217","University of Maine at Augusta","2010","Not applicable",,,"60637","19",,,,,,,,,
"161226","University of Maine at Farmington","2010","Not applicable","80","40","57050","59",,,,,,,,,
"161235","University of Maine at Fort Kent","2010","Not applicable",,,"55140","24",,,,,,,,,
"161244","University of Maine at Machias","2010","Not applicable","81","39","55745","34","400","530","390","510","15","22",,,
"161299","Maine Maritime Academy","2010","Not applicable","55","44",,"65","440","540","460","560",,,,,
"161341","University of Maine at Presque Isle","2010","Not applicable",,,"55973","31",,,,,,,,,
"161572","Unity College","2010","Not applicable","78","32","49929","50",,,,,,,"11486256","3593689","2452330"
"162654","Goucher College","2010","Not applicable","73","15","67670","66",,,,,,,"61046000","26719203","158375000"
"163912","St Mary's College of Maryland","2010","Not applicable","57","35","67413","77","580","690","550","650","24","29",,,
"163921","Sojourner-Douglass College","2010","Not applicable",,,"13748","29",,,,,,,"27605983","4903165",
"163976","St. John's College","2010","Not applicable","81","47","84594","73","640","740","570","690","27","30","27341381","9871689","70080759"
"164155","United States Naval Academy","2010","Not applicable","8","85","108184","89","550","670","590","690",,,,,
"164216","Washington College","2010","Not applicable","74","14","69675","71","540","630","530","620","23","27","55138924","17604024","142554411"
"164270","McDaniel College","2010","Not applicable","74","19","62732","70","510","610","500","610","21","28","60125000","23521000","78473000"
"164465","Amherst College","2010","Not applicable","15","40","102936","95","670","770","670","770","30","34","137628381","44123171","1385745379"
"164720","Becker College","2010","Not applicable","77","24","61479","29","390","500","400","500","14","22","31603367","8033593","1598299"
"165671","Emmanuel College","2010","Roman Catholic","56","16","66447","62","490","600","480","580","21","25","51816005","13900989","56834743"
"165936","Gordon College","2010","Interdenominational","70","31","69079","71","530","650","510","620","24","30","51322431","16330916","22323700"
