"unitid","institution name","year","EF2009A.Level of student","EF2009A.Grand total","EF2009A.Grand total women","EF2009A.Asian total - new","EF2009A.Black or African American total - new","EF2009A.Hispanic total - new","IDX_EF"
"141060","Spelman College","2009","All students, Undergraduate total","2229","2229","0","0","0","-2"
"141185","Toccoa Falls College","2009","All students, Undergraduate total","816","449",,,,"-2"
"141237","Truett McConnell University","2009","All students, Undergraduate total","519","277",,,,"-2"
"141325","Wesleyan College","2009","All students, Undergraduate total","606","592",,,,"-2"
"141361","Young Harris College","2009","All students, Undergraduate total","695","369","5","20","26","-2"
"141981","University of Hawaii-West Oahu","2009","All students, Undergraduate total","1333","947",,,,"-2"
"142294","The College of Idaho","2009","All students, Undergraduate total","1002","586",,,,"-2"
"142328","Lewis-Clark State College","2009","All students, Undergraduate total","4200","2512",,,,"-2"
"142522","Brigham Young University-Idaho","2009","All students, Undergraduate total","14944","8637",,,,"-2"
"143084","Augustana College","2009","All students, Undergraduate total","2472","1400","53","53","76","-2"
"143288","Blackburn College","2009","All students, Undergraduate total","607","357",,,,"-2"
"144883","East-West University","2009","All students, Undergraduate total","1060","632","31","633","144","-2"
"144971","Eureka College","2009","All students, Undergraduate total","766","429","8","22","14","-2"
"145646","Illinois Wesleyan University","2009","All students, Undergraduate total","2066","1221",,,,"-2"
"145691","Illinois College","2009","All students, Undergraduate total","894","453","4","40","21","-2"
"146393","Kendall College","2009","All students, Undergraduate total","2389","1682",,,,"-2"
"146427","Knox College","2009","All students, Undergraduate total","1407","844",,,,"-2"
"146481","Lake Forest College","2009","All students, Undergraduate total","1398","828",,,,"-2"
"146825","MacMurray College","2009","All students, Undergraduate total","518","327",,,,"-2"
"147244","Millikin University","2009","All students, Undergraduate total","2276","1368",,,,"-2"
"147341","Monmouth College","2009","All students, Undergraduate total","1379","713",,,,"-2"
"148016","Principia College","2009","All students, Undergraduate total","527","274",,,,"-2"
"149505","Trinity Christian College","2009","All students, Undergraduate total","1450","973",,,,"-2"
"149781","Wheaton College","2009","All students, Undergraduate total","2399","1209",,,,"-2"
"150400","DePauw University","2009","All students, Undergraduate total","2396","1361","69","150","94","-2"
"150455","Earlham College","2009","All students, Undergraduate total","1127","622",,,,"-2"
"150604","Franklin College","2009","All students, Undergraduate total","1271","658","10","33","3","-2"
"150668","Goshen College","2009","All students, Undergraduate total","974","591",,,,"-2"
"150756","Hanover College","2009","All students, Undergraduate total","938","511",,,,"-2"
"150774","Holy Cross College","2009","All students, Undergraduate total","445","148",,,,"-2"
"150941","Huntington University","2009","All students, Undergraduate total","1164","648","5","15","11","-2"
"151333","Indiana University-Kokomo","2009","All students, Undergraduate total","2848","1849",,,,"-2"
"151777","Manchester University","2009","All students, Undergraduate total","1223","625",,,,"-2"
"151810","Martin University","2009","All students, Undergraduate total","1149","761","0","1050","4","-2"
"152099","Oakland City University","2009","All students, Undergraduate total","2382","1320","9","166","40","-2"
"152266","Purdue University-North Central Campus","2009","All students, Undergraduate total","4379","2497",,,,"-2"
"152363","Saint Josephs College","2009","All students, Undergraduate total","1010","577","8","95","49","-2"
"152381","Saint Mary-of-the-Woods College","2009","All students, Undergraduate total","1465","1391",,,,"-2"
"152390","Saint Mary's College","2009","All students, Undergraduate total","1664","1656","26","23","120","-2"
"152530","Taylor University","2009","All students, Undergraduate total","2436","1341",,,,"-2"
"152567","Trine University","2009","All students, Undergraduate total","1608","564",,,,"-2"
"152673","Wabash College","2009","All students, Undergraduate total","883","0","25","51","41","-2"
"152992","Briar Cliff University","2009","All students, Undergraduate total","1079","608","19","61","71","-2"
"153001","Buena Vista University","2009","All students, Undergraduate total","2566","1680","20","66","83","-2"
"153108","Central College","2009","All students, Undergraduate total","1636","868",,,,"-2"
"153126","Clarke University","2009","All students, Undergraduate total","982","666","9","14","21","-2"
"153144","Coe College","2009","All students, Undergraduate total","1287","680","13","31","21","-2"
"153162","Cornell College","2009","All students, Undergraduate total","1133","593",,,,"-2"
"153250","Dordt College","2009","All students, Undergraduate total","1321","678",,,,"-2"
"153375","Grand View University","2009","All students, Undergraduate total","1985","1227","45","130","59","-2"
"153384","Grinnell College","2009","All students, Undergraduate total","1688","887",,,,"-2"
"153621","Iowa Wesleyan University","2009","All students, Undergraduate total","858","519",,,,"-2"
"153825","Loras College","2009","All students, Undergraduate total","1498","729","6","15","40","-2"
"153834","Luther College","2009","All students, Undergraduate total","2519","1449",,,,"-2"
"154101","Northwestern College","2009","All students, Undergraduate total","1206","716","12","11","26","-2"
"154350","Simpson College","2009","All students, Undergraduate total","1993","1133","32","34","31","-2"
"154518","Waldorf University","2009","All students, Undergraduate total","558","250","5","53","31","-2"
"154527","Wartburg College","2009","All students, Undergraduate total","1800","941",,,,"-2"
"154712","Benedictine College","2009","All students, Undergraduate total","1818","963","17","53","92","-2"
"154721","Bethany College","2009","All students, Undergraduate total","592","295","2","62","37","-2"
"154749","Bethel College-North Newton","2009","All students, Undergraduate total","437","215",,,,"-2"
"154855","Central Christian College of Kansas","2009","All students, Undergraduate total","466","228",,,,"-2"
"155414","Kansas Wesleyan University","2009","All students, Undergraduate total","805","443",,,,"-2"
"155511","McPherson College","2009","All students, Undergraduate total","629","275","6","56","41","-2"
"155627","Ottawa University-Ottawa","2009","All students, Undergraduate total","525","248",,,,"-2"
"155636","Ottawa University-Kansas City","2009","All students, Undergraduate total","316","235",,,,"-2"
"155937","Sterling College","2009","All students, Undergraduate total","722","351",,,,"-2"
"155973","Tabor College","2009","All students, Undergraduate total","618","306",,,,"-2"
"156189","Alice Lloyd College","2009","All students, Undergraduate total","595","334",,,,"-2"
"156295","Berea College","2009","All students, Undergraduate total","1548","908",,,,"-2"
"156356","Brescia University","2009","All students, Undergraduate total","670","399","3","38","15","-2"
"156408","Centre College","2009","All students, Undergraduate total","1216","663",,,,"-2"
"156745","Georgetown College","2009","All students, Undergraduate total","1335","746",,,,"-2"
"157058","Kentucky State University","2009","All students, Undergraduate total","2638","1520",,,,"-2"
"157076","Kentucky Wesleyan College","2009","All students, Undergraduate total","876","412",,,,"-2"
"157100","Kentucky Christian University","2009","All students, Undergraduate total","557","278",,,,"-2"
"157535","University of Pikeville","2009","All students, Undergraduate total","705","354","7","65","7","-2"
"157818","Transylvania University","2009","All students, Undergraduate total","1092","646",,,,"-2"
"158477","Centenary College of Louisiana","2009","All students, Undergraduate total","887","499",,,,"-2"
"158802","Dillard University","2009","All students, Undergraduate total","1011","739","1","963","10","-2"
"159382","Louisiana State University-Alexandria","2009","All students, Undergraduate total","2675","1913",,,,"-2"
"160065","University of Holy Cross","2009","All students, Undergraduate total","1019","828","39","229","56","-2"
"160959","College of the Atlantic","2009","All students, Undergraduate total","336","230",,,,"-2"
"160977","Bates College","2009","All students, Undergraduate total","1738","928",,,,"-2"
"161004","Bowdoin College","2009","All students, Undergraduate total","1777","906",,,,"-2"
"161086","Colby College","2009","All students, Undergraduate total","1838","993",,,,"-2"
"161217","University of Maine at Augusta","2009","All students, Undergraduate total","5030","3682","25","46","45","-2"
"161226","University of Maine at Farmington","2009","All students, Undergraduate total","2314","1506","15","20","17","-2"
"161235","University of Maine at Fort Kent","2009","All students, Undergraduate total","1126","749","5","18","6","-2"
"161244","University of Maine at Machias","2009","All students, Undergraduate total","964","674","7","22","12","-2"
"161299","Maine Maritime Academy","2009","All students, Undergraduate total","922","173",,,,"-2"
"161341","University of Maine at Presque Isle","2009","All students, Undergraduate total","1436","948","4","17","12","-2"
"161572","Unity College","2009","All students, Undergraduate total","564","278","2","7","11","-2"
"162654","Goucher College","2009","All students, Undergraduate total","1481","1011",,,,"-2"
"163912","St Mary's College of Maryland","2009","All students, Undergraduate total","2017","1162",,,,"-2"
"163921","Sojourner-Douglass College","2009","All students, Undergraduate total","1212","1086",,,,"-2"
"163976","St. John's College","2009","All students, Undergraduate total","463","232",,,,"-2"
"164155","United States Naval Academy","2009","All students, Undergraduate total","4552","924","149","230","533","-2"
"164216","Washington College","2009","All students, Undergraduate total","1310","774",,,,"-2"
"164270","McDaniel College","2009","All students, Undergraduate total","1695","917",,,,"-2"
"164465","Amherst College","2009","All students, Undergraduate total","1744","875",,,,"-2"
"164720","Becker College","2009","All students, Undergraduate total","1758","1182","23","123","97","-2"
"165671","Emmanuel College","2009","All students, Undergraduate total","2175","1608",,,,"-2"
"165936","Gordon College","2009","All students, Undergraduate total","1585","992",,,,"-2"
"166018","Hampshire College","2009","All students, Undergraduate total","1463","874","48","61","119","-2"
"166124","College of the Holy Cross","2009","All students, Undergraduate total","2932","1599",,,,"-2"
"166939","Mount Holyoke College","2009","All students, Undergraduate total","2288","2283",,,,"-2"
"166948","Mount Ida College","2009","All students, Undergraduate total","1476","963",,,,"-2"
"167251","Newbury College","2009","All students, Undergraduate total","994","573",,,,"-2"
"167288","Massachusetts College of Liberal Arts","2009","All students, Undergraduate total","1675","1001","11","91","78","-2"
"167455","Pine Manor College","2009","All students, Undergraduate total","452","452",,,,"-2"
"167792","Bard College at Simon's Rock","2009","All students, Undergraduate total","431","256","20","26","16","-2"
"167835","Smith College","2009","All students, Undergraduate total","2614","2614",,,,"-2"
"167996","Stonehill College","2009","All students, Undergraduate total","2468","1482",,,,"-2"
"168218","Wellesley College","2009","All students, Undergraduate total","2324","2268",,,,"-2"
"168281","Wheaton College","2009","All students, Undergraduate total","1632","1006",,,,"-2"
"168342","Williams College","2009","All students, Undergraduate total","2085","1083",,,,"-2"
"168528","Adrian College","2009","All students, Undergraduate total","1608","752",,,,"-2"
